id	org	files	has_meta	has_r	usable
GSE142526	Homo sapiens	TAR	no	no	no
GSE139079	Homo sapiens	TXT	no	no	no
GSE132149	Homo sapiens	TXT	no	no	no
GSE143214	Homo sapiens	TXT	no	no	no
GSE143148	Mus musculus; Homo sapiens	BED, CSV, TSV	no	no	no
GSE140231	Homo sapiens	TAR	no	no	no
GSE143136	Homo sapiens; Mus musculus	TAB, TXT	no	no	no
GSE127918	Homo sapiens	TXT	no	no	no
GSE142838	Homo sapiens	TAR	no	no	no
GSE139448	Homo sapiens	CSV	no	no	no
GSE126488	Homo sapiens	RDATA, TXT	no	yes	yes
GSE121309	Homo sapiens	TXT	no	no	no
GSE142750	Homo sapiens	MTX, TSV	no	no	no
GSE137026	Homo sapiens	CSV, H5	no	no	no
GSE133167	Homo sapiens	TXT	no	no	no
GSE140021	Homo sapiens	BW, TXT	no	no	no
GSE141946	Homo sapiens	CSV, TXT	yes	no	yes
GSE138025	Homo sapiens	CSV	no	no	no
GSE142392	Homo sapiens	CSV	no	no	no
GSE108378	Homo sapiens	XLSX	no	no	no
GSE142286	Homo sapiens	CSV	no	no	no
GSE139522	Homo sapiens	MTX, TSV	no	no	no
GSE122515	Homo sapiens	TXT	no	no	no
GSE120386	Homo sapiens	CSV, TXT	no	no	no
GSE142016	Homo sapiens	MTX, TSV	no	no	no
