id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE151117	Homo sapiens	MTX, TSV	no	no	no	no	2020	May	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151117//suppl/filelist.txt
GSE148963	Homo sapiens	MTX, TSV	no	no	no	no	2020	Apr	20	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148963//suppl/filelist.txt
GSE145086	Mus musculus	MTX, TSV	no	no	no	no	2020	Feb	11	Hepatology	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145086//suppl/filelist.txt
GSE139495	Homo sapiens	TSV	yes	error_parse	no	yes	2019	Oct	28	Mol. Carcinog.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139495//suppl/filelist.txt
GSE120046	Homo sapiens	TXT	no	error_parse	no	no	2018	Sep	17	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120046//suppl/filelist.txt
GSE156700	Mus musculus	MTX, TSV	no	no	no	no	2020	Aug	23	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156700//suppl/filelist.txt
GSE156689	Mus musculus	XLSX	no	error_parse	no	no	2020	Aug	23	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156689//suppl/filelist.txt
GSE152587	Mus musculus	TSV	no	no	no	no	2020	Jun	16	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152587//suppl/filelist.txt
GSE146042	Homo sapiens; Mus musculus	CSV	no	no	no	no	2020	Feb	27	Gastroenterology	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146042//suppl/filelist.txt
GSE145830	Homo sapiens; Mus musculus	CSV	no	no	no	no	2020	Feb	24	Gastroenterology	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145830//suppl/filelist.txt
GSE145829	Mus musculus	CSV	no	no	no	no	2020	Feb	24	Gastroenterology	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145829//suppl/filelist.txt
