id	year	usable	usable2
GSE110037	2018	no	no
GSE110116	2018	no	no
GSE110154	2018	no	no
GSE110208	2018	no	no
GSE110265	2018	no	no
GSE110283	2018	no	no
GSE110351	2018	no	no
GSE110357	2018	no	no
GSE110371	2018	no	no
GSE110496	2018	no	no
GSE110499	2018	no	no
GSE110501	2018	no	no
GSE110513	2018	no	no
GSE110588	2018	no	no
GSE110626	2018	no	no
GSE110648	2018	no	no
GSE110680	2018	no	no
GSE110684	2018	no	no
GSE110686	2018	no	no
GSE110727	2018	no	no
GSE110746	2018	no	no
GSE110791	2018	no	no
GSE110798	2018	no	no
GSE110823	2018	no	no
GSE110878	2018	no	no
GSE110894	2018	no	no
GSE110899	2018	no	no
GSE110909	2018	no	no
GSE110949	2018	yes	meta
GSE110973	2018	no	no
GSE111015	2018	no	no
GSE111027	2018	no	no
GSE111065	2018	no	no
GSE111068	2018	yes	meta
GSE111107	2018	no	no
GSE111113	2018	no	no
GSE111229	2018	no	no
GSE111301	2018	no	no
GSE111360	2018	yes	meta
GSE111404	2018	no	no
GSE111429	2018	no	no
GSE111462	2018	no	no
GSE111527	2018	no	no
GSE111543	2018	no	no
GSE111545	2018	no	no
GSE111598	2018	no	no
GSE111599	2018	no	no
GSE111664	2018	no	no
GSE111672	2018	no	no
GSE111704	2018	no	no
GSE111717	2018	no	no
GSE111727	2018	no	no
GSE111748	2018	no	no
GSE111752	2018	no	no
GSE111764	2018	yes	meta
GSE111822	2018	no	no
GSE111831	2018	no	no
GSE111839	2018	no	no
GSE111860	2018	yes	meta
GSE111893	2018	no	no
GSE111898	2018	yes	meta
GSE111912	2018	no	no
GSE111976	2018	yes	meta
GSE112004	2018	no	no
GSE112008	2018	no	no
GSE112033	2018	no	no
GSE112050	2018	no	no
GSE112177	2018	no	no
GSE112205	2018	no	no
GSE112271	2018	no	no
GSE112274	2018	no	no
GSE112294	2018	no	no
GSE112380	2018	no	no
GSE112381	2018	no	no
GSE112393	2018	no	no
GSE112417	2018	no	no
GSE112438	2018	no	no
GSE112507	2018	no	no
GSE112541	2018	no	no
GSE112570	2018	no	no
GSE112642	2018	no	no
GSE112671	2018	no	no
GSE112692	2018	no	no
GSE112711	2018	no	no
GSE112732	2018	no	no
GSE112794	2018	no	no
GSE112837	2018	no	no
GSE112845	2018	no	no
GSE112846	2018	no	no
GSE112865	2018	no	no
GSE112880	2018	no	no
GSE112903	2018	yes	meta
GSE112982	2018	no	no
GSE113014	2018	no	no
GSE113036	2018	no	no
GSE113043	2018	no	no
GSE113046	2018	no	no
GSE113049	2018	yes	meta
GSE113069	2018	yes	meta
GSE113074	2018	yes	meta
GSE113089	2018	no	no
GSE113111	2018	no	no
GSE113164	2018	no	no
GSE113168	2018	no	no
GSE113197	2018	no	no
GSE113208	2018	no	no
GSE113221	2018	no	no
GSE113262	2018	no	no
GSE113280	2018	no	no
GSE113293	2018	no	no
GSE113307	2018	no	no
GSE113320	2018	no	no
GSE113336	2018	no	no
GSE113403	2018	no	no
GSE113418	2018	no	no
GSE113466	2018	no	no
GSE113502	2018	no	no
GSE113530	2018	no	no
GSE113536	2018	no	no
GSE113560	2018	no	no
GSE113561	2018	yes	meta
GSE113576	2018	no	no
GSE113605	2018	no	no
GSE113616	2018	no	no
GSE113660	2018	no	no
GSE113675	2018	no	no
GSE113689	2018	no	no
GSE113765	2018	no	no
GSE113766	2018	no	no
GSE113788	2018	no	no
GSE113807	2018	no	no
GSE113811	2018	no	no
GSE113854	2018	no	no
GSE113901	2018	no	no
GSE113917	2018	no	no
GSE113931	2018	no	no
GSE113973	2018	no	no
GSE113985	2018	no	no
GSE113990	2018	no	no
GSE114000	2018	yes	meta
GSE114044	2018	no	no
GSE114071	2018	no	no
GSE114156	2018	no	no
GSE114157	2018	no	no
GSE114161	2018	no	no
GSE114186	2018	no	no
GSE114220	2018	no	no
GSE114239	2018	no	no
GSE114278	2018	no	no
GSE114279	2018	no	no
GSE114297	2018	no	no
GSE114312	2018	no	no
GSE114313	2018	no	no
GSE114314	2018	no	no
GSE114374	2018	no	no
GSE114396	2018	no	no
GSE114397	2018	yes	meta
GSE114412	2018	yes	meta
GSE114446	2018	no	no
GSE114454	2018	no	no
GSE114459	2018	no	no
GSE114460	2018	no	no
GSE114461	2018	no	no
GSE114530	2018	no	no
GSE114569	2018	yes	meta
GSE114615	2018	no	no
GSE114670	2018	no	no
GSE114687	2018	yes	meta
GSE114704	2018	no	no
GSE114713	2018	no	no
GSE114727	2018	yes	meta
GSE114748	2018	no	no
GSE114759	2018	yes	meta
GSE114793	2018	no	no
GSE114802	2018	no	no
GSE114822	2018	no	no
GSE114895	2018	yes	object
GSE114952	2018	no	no
GSE114961	2018	no	no
GSE114986	2018	no	no
GSE114988	2018	no	no
GSE114997	2018	no	no
GSE115006	2018	no	no
